Reward,Name of Partner,Writeup,Offer,Street Address,Region,Province
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"Klein Joostenberg Farm, Muldersvlei Rd, Stellenbosch",Stellenbosch,Western Cape
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"The Farmyard on Rainhill Farm, 36 Donkerhoek Rd, Donkerhoek, Rustenburg",Rustenburg,North West
Experience Reward,Adventure Golf,"Adventure Golf exists to provide that integral space where ALL people can take a break from trepidation. We have spent the last three decades providing our patrons with memories, entertainment, and smiles and there is NOTHING that we value more than that special bond between family.",Buy 1 ticket and get 1 free ticket,"Ferndale on Republic, Republic Rd, Ferndale, Randburg",Randburg,Gauteng
Experience Reward,All Out Adventures ,"All Out Adventures , situated in the unspoilt KZN Northern Drakensberg just off the R74, mid way between Joburg and Durban, offers 10 awesome activities at one spectacular venue. Highlights include SAs fastest Cable Tour, Adventure Quad Trails, 150kms of marked mountain bike trails, and a hair raising 17 meter free fall King Swing accessed by a wooden spiral stair case that snakes 21 meters to the tree tops.",Pay for 1 king swing ticket and get 1 free ticket,"Moeggestap Farm Off D119, Bergville",Bergville,KwaZulu Natal
Experience Reward,Animal Farm Yard,"A delightful venue with a wide selection of animals, big and small. Owner managed by a couple, who clearly love animals. The tea garden offers light lunches, breakfast, cakes and beverages in a lovely setting overlooking the farms on the opposite side of the valley.",Buy 1 entry ticket and get 1 free.,"3 Lello Rd, Assagay, Hillcrest",Hillcrest,KwaZulu Natal
Experience Reward,Apex Indoor Trampoline,"APEX is locally owned, operated and dedicated to the Rustenburg community and to our guests. We are enthusiastic about special needs, obesity, health and fitness.",Pay for 1 Jumper session and get a 30 minute session free.,"200 Bethlehem St, Rustenburg North, Rustenburg",Rustenburg,North West
Experience Reward,Be Up Park,"We have a wide variety of activities to guarantee a Fun time while exercising. Our activities include a Trampoline Zone, an AltiGame, Climbing Walls and a huge Kids Maze! Put all this together and you can see why be.UP Park is a favourite destination for the most memorable birthday parties, milestone events, group events, corporate outings, charitable functions and more.",Buy 1 climbing session and get 1 free,"Gardener Place, Rose Innes Street, Pinelands, Western Cape",Pinelands,Western Cape
Experience Reward,Be Up Park,"We have a wide variety of activities to guarantee a Fun time while exercising. Our activities include a Trampoline Zone, an Alti Game, Climbing Walls and a huge Kids Maze!Put all this together and you can see why be.UP Park is a favourite destination for the most memorable birthday parties, milestone events, group events, corporate outings, charitable functions and more.",Buy 1 climbing session and get 1 free,"17 Dock Street, Victoria & Alfred Waterfront, Cape Town",Cape Town,Western Cape
Experience Reward,Be Up Park,"We have a wide variety of activities to guarantee a Fun time while exercising. Our activities include a Trampoline Zone, an AltiGame, Climbing Walls and a huge Kids Maze!Put all this together and you can see why be.UP Park is a favourite destination for the most memorable birthday parties, milestone events, group events, corporate outings, charitable functions and more.",Buy 1 climbing session and get 1 free,"Gateway Theatre of Shopping, 2nd Floor  Shop E-064, Umhlanga Ridge",Umhlanga Ridge,KwaZulu Natal
Experience Reward,Be Up Park,"We have a wide variety of activities to guarantee a Fun time while exercising. Our activities include a Trampoline Zone, an Alti Game, Climbing Walls and a huge Kids Maze!Put all this together and you can see why be.UP Park is a favourite destination for the most memorable birthday parties, milestone events, group events, corporate outings, charitable functions and more.",Buy 1 climbing session and get 1 free,"Cresta Shopping Centre, Cnr Beyers Naude Drive &, Weltevreden Rd, Cresta, Randburg",Randburg,Gauteng
Experience Reward,Blades & Triggers Paintball Field,"A day out at Blades & Triggers  Paintball Field is sure to be an action packed adventure. Conveniently located on the corner of North Rand Road and Rietfontein Road in Boksburg within walking distance of East Rand Mall. Most importantly, youre in safe hands at our field. Our staff is well trained and experienced in delivering high quality paintball action.","Buy 1 get 1 free applicable to the Standard Package per person (The standard package includes the following 1 x rental gun, 1 x rental mask, 1 x overall, 100 x paintballs)","157 N Rand Rd, Beyers Park, Boksburg",Boksburg,Gauteng
Experience Reward,Blasters Family Entertainment Centre,"Blasters Mossel Bay family entertainment centre is a place where the whole family can come to have some fun together. Our giant indoor jungle gym is the largest in the Garden Route, and there is plenty of space for the kids aged 0-12 to run around and play. The games arcade, blacklight putt-putt, and pool tables are there for older kids and adults to enjoy. We also have a snooker table for our dads.",Buy 1 entry ticket and get 1 free.," 23 Mascador St, Voorbaai, Mossel Bay",Mossel Bay,Western Cape
Experience Reward,Bounce,A spring-loaded urban playground for free-jumping where hard surfaces are replaced with circus-grade.,Pay for 1 miniBOUNCER Jumper session 1 hour and get a 1 hour session free,"Shop U39 Cornubia Mall, Flanders Dve Mt. Edgecombe",Umhlanga,KwaZulu Natal
Experience Reward,Bounce,A spring-loaded urban playground for free-jumping where hard surfaces are replaced with circus-grade.,Pay for 1 miniBOUNCER Jumper session 1 hour and get a 1 hour session free,"Amarand Ave, Level 2, Central Square, Waterkloof Ext 2 Centurion ",Menlyn ,Gauteng
Experience Reward,Bounce,A spring-loaded urban playground for free-jumping where hard surfaces are replaced with circus-grade.,Pay for 1 miniBOUNCER Jumper session 1 hour and get a 1 hour session free,"Menlyn Maine, Amarand Ave, Central Square, Waterkloof Glen, Pretoria",Pretoria,Gauteng
Experience Reward,Bounce,A spring-loaded urban playground for free-jumping where hard surfaces are replaced with circus-grade.,Pay for 1 miniBOUNCER Jumper session 1 hour and get a 1 hour session free,"L006, Cornubia Mall, Tecoma Road, Blackburn Estate, Durban",Durban,KwaZulu Natal
Experience Reward,Bushwhacked Outdoor Adventures,"River Rafting specialists, based at our Orange River campsite, Fiddlers Creek, Bushwhacked promises you adventure, fun, relaxation, thrills, awesome scenery, great vibe, fantastic people, brilliant food, mind-blowing sunsets, tranquil sunrises, birdlife, peace and an experience of a life time.",Pay for 1 adult night camping experience and get 1 free,"Plot 26 Fiddlers Creek, Kotzeshoop",Kotzeshoop,Northern Cape
Experience Reward,Butterfly Valley,"At Ramsgate Butterfly Valley, we specialize in South African butterflies. Unlike most other butterfly farms which import pupae, we breed most of our own butterflies and are therefore able to present the entire life-cycle of these amazing creatures to the public.",Buy 1 entry ticket and get 1 free.,"Fascadale Rd, Ramsgate Beach, Ramsgate",Ramsgate,KwaZulu Natal
Experience Reward,Castle of Good Hope,"The Castle of Good Hope known locally as the Castle or Cape Town Castle is a bastion fort built in the 17th century in Cape Town, South Africa. Originally located on the coastline of Table Bay, following land reclamation the fort is now located inland.",Buy 1 get 1 free applicable to the entrance fee,"Darling St & Buitenkant St, Cape Town",Cape Town,Western Cape
Experience Reward,Ceres Zipline Adventures,"Come and experience this 1,4km of pure adrenaline Eco Adventure, consisting of 8 slides varying from 100-290m in length. This Eco-Adventure is safe, fast and long. The tour takes place in the Schurweberg Mountains below the Koekedouw Dam in Ceres.",Buy 1 Go-Pro Rental and get 1 free.,"1 Voortrekker St, Ceres",Ceres,Western Cape
Experience Reward,Cheetah Experience,"Cheetah Experience is a non-profit endangered species breeding centre. We are home to a number of endangered and threatened species, including cheetahs, leopards, male non-breeding lions, servals, caracals, African wildcats, wolves, meerkats and a Siberian tiger. Our project takes in rescued animals from the local area, so we also have various animals from time to time, including a goat and antelope.",Buy 1 tour ticket and get 1 free,"Farm 20, R101, Bela-Bela",Bela bela,Limpopo
Experience Reward,CK Paintball,Our batter field offers a absolutely fantastic terrain with stream running through the field. Trees provide shade during hot days & shelter when it rains. Tick and thorn free.,Buy 1 get 1 free applicable to the person who books the game.,"Helderberg Farm, Klein Helderbergpad, Somerset West, South Africa",Somerset West,Western Cape
Experience Reward,Clarens Extreme Adventures,Clarens Xtreme are the Great Adventure People. We are a team of energetic adventurers seeking to experience the real world with a grassroots approach to adventure and team building.,Buy 1 ticket and get 1 free ticket,"531 Sias Oosthuizen St, Clarens",Clarens,Western Cape
Experience Reward,Clubventure  Zipline Tours,"Clubventure offers an awesome zipline tour with a difference. You can enjoy life from a birds eye view while sliding on Zipline cables on a 1,5km Zipline Tour. After a leisurely nature walk to the top of the cliff you are introduced to the 1st in the world all new Para zip",Buy 1 Zipline Tour and get 1 Zipline Tour free,"Area, Clubventure 1369 Hopewell Farm, Esenembe Road",Ballito,KwaZulu Natal
Experience Reward,Creative Dance Academy,"Creative Dance Academy is a dance academy specializing in Ballet, Modern/Jazz, Contemporary and Dance Studies",Pay for 1 session and get and 1 session free.,"Gardenia Park, Bloemfontein",Bloemfontein,Free State
Experience Reward,Dance Fever Studio,,Pay for 1 session and get 1 session free,Online,Online,Online
Experience Reward,DNA Paintball,"Paintball is not just what we do, it is who we are, it is our passion, and this is why DNA Paintball South Africa will always be innovative in your paintball experiences. ",Buy 1 standard entry ticket get 1 free ,"cnr Robert Broom Street & Lud Hersch Rd, Krugersdorp",Krugersdorp,Gauteng
Experience Reward,Earth Adventures,"Earth Adventures is a young, dynamic and family driven adventure company. Three brothers with a passion for adventure set out to create a truly unique African experience.",Pay for 100 paintball bullets and get 100 free,"Farm 21, Kopjeskraal, Parys",Parys,Free State
Experience Reward,Featherfoot Horses ,"Featherfoot Horse Ranch is conveniently situated in Jeffreys Bay, on the Kabeljouws suburb on the edge of town, in the Eastern Cape of South Africa.",Buy 1 ticket and get 1 free ticket,"5 Elm St, Kabeljous, Jeffreys Bay",Jeffreys Bay,Eastern Cape
Experience Reward,Go Bananaz,"A place where the kids can play mini sports on a play court, learn balance and coordination in a uniquely designed air gym and also literally Go Bananaz in a safe and controlled environment.",Buy 1 entry ticket and get 1 entry ticket free,"20 Rockview Rd, Amanzimtoti",Amanzimtoti,KwaZulu Natal
Experience Reward,Gravity Trampoline Park,"At Gravity Indoor Trampoline Park we are a very popular choice when it comes to fun-filled, memorable birthday parties. All our experienced staff are fully trained to ensure the safety off all our clients and are available in a heartbeat to assist you.",Buy 1 entry ticket and get 1 free ticket,"Hemingways Mall, Two Rivers Dr, Cambridge Village, East London",East London,Eastern Cape
Experience Reward,Hakuna Matata Charters,"Hakuna Matata Charters is bases in Durban, South Africa and is proud to be the leading charter boat company. We boast two of the most luxurious 58 foot catamarans",Buy 1sea cruise ticket and get 1 free ticket,"2 Maritime Pl, Durban Central, Durban",Durban,KwaZulu Natal
Experience Reward,Heavenly Stables,"Revitalize yourself with an unforgettable riding experience along the charming seaside suburb of Sardinia Bay, Lovemore Park in Port Elizabeth and the exquisite freedom of cantering along the Indian Coast.",Pay for 1 riding lesson and get 1 free,"953 Olive Ln, Lovemore Park, Gqeberha",Gqeberha,Eastern Cape
Experience Reward,Hunyani Snake City,"Hunyani Snake City, short for Hunyani Reptile Educational Breeding Centre, invites you to view presentations and learn about the conservation of South African reptiles. Included in the deadly-dozen are eyeball cobras, mambas, king snakes, anacondas, rattle snakes, pythons and crocodiles.",Buy 1 entrance ticket and get 1 free.,"17 Voortrekker Ave, Edenvale, Johannesburg",Johannesburg,Gauteng
Experience Reward,iJump,"With over 1000 square meters of wall-to-wall trampolines, our facility has a general jump arena, trampoline dodgeball, foam pits, slam dunk tracks, extreme jumping, fitness classes and more; including the exciting iKIDZ arena that houses over 400 square meters of trampoline and playground area reserved exclusively for the little ones.",Pay for 1 iJump and get and extra 1 hour free,"Corner Hendrik Potgieter and Christiaan de Wet, Strubens Valley, Roodepoort",Roodepoort,Gauteng
Experience Reward,Imhoff Snake And Reptile Rehabilitation Centre,Imhoffs Snake Park is a reptile sanctuary and rehabilitation centre. Its also an excellent destination for anyone interested in observing and learning about some of the most fascinating reptile species.,Buy 1 ticket and get 1 free ticket,"36 Old Mill Road, Ndabeni, Maitland, 7405",Maitland,Western Cape
Experience Reward,Johannesburg Zoo,"The Joburg Zoo is one of the most popular local and tourist attractions situated in the leafy northern suburb of Johannesburg. The Zoo covers 55 hectares of land and was founded in 1904, when land was donated to the public for recreational use by the firm of the late Hermann Ekstein.",Pay for 1 kid entrance fee and get 1 free,"Shop U 30 Keyes, Jellicoe Ave, Rosebank, Johannesburg",Johannesburg,Gauteng
Experience Reward,Jump Street,"Jump Street can be enjoyed by just about anyone, of any age, shape and physical ability. But for those not feeling adventurous, why not relax at the Jump Café where we offer coffees and snacks whilst enjoying the fun from afar",Pay for 1 session open jump 1 hour and get 1 session free,"9 Enterprise Way, Rivergate Business Park",Cape Town,Western Cape
Experience Reward,Jumpers lane,"At Jumpers Lane, we are more than just an indoor trampoline and leisure park - we are the pioneers of boundless fun and adventure in Bloemfontein. Our journey began with a vision to create a space where people of all ages could break free from the shackles of gravity.",Pay for 1 trampoline jump and get 1 hour free.,"3 Lebomboberg Ave, Bainsvlei, Bloemfontein",Bloemfontein,Free State
Experience Reward,Jungle Tots,"Learning through play is the key to what we do at Jungletots.The groups of children are kept small so that there is an opportunity to spend quality time with each child and to expose them to many varied fun-filled experiences through drama, puppetry and imaginary games.",Book for 1 tiny tot session and get 1 free.,"Dainfern, Gauteng ",Dainfern,Gauteng
Experience Reward,Kololo Game Reserve,"Kololo Game Reserve is situated in Limpopo, the northernmost province of South Africa, in the heart of the protected Waterberg nature area, close to the village of Vaalwater.",Pay for 1 Kololo Kids Safari and get 1 free.,"Bakkerspas Road, Vaalwater",Vaalwater,Limpopo
Experience Reward,Moholoholo Animal Rehabilitation Centre,"Situated at the base of the majestic North Eastern Lowveld Drakensberg mountain range in the Limpopo Province of South Africa, Moholoholo offers a unique experience to all nature enthusiasts.",Pay for 1 Wildlife Rehabilitation Centre entrance fee and get entrance fee free.,Hoedspruit,Hoedspruit,Limpopo
Experience Reward,Ndlondlo Snake Park,"The park also gives courses on basic snake handling, first aid and how to handle snake encounters. All Guided tours that are offered, are facilitated by the most knowledgeable and professionally trained tour guides, we specialize in educating people about indigenous snakes.",Pay for 1 kids entry and get 1 free,"Esenembe Road, Ballito",Ballito,KwaZulu Natal
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Cnr Jan Smuts Ave and, 6th Rd, Hyde Park, Johannesburg",Hyde Park,Gauteng
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Loch Logan Waterfront, 105 Henry St & 1st Avenue, Westdene, Bloemfontein",Loch Logan,Free State
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"92 Atterbury Rd, Garston AH, Pretoria",Menlyn Park,Gauteng
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"77, 8 Jack Martens Dr, Westville, Durban,",The Pavilion,KwaZulu Natal
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"479, Century Blvd, Century City, Cape Town",Canal Walk,Western Cape
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"13 Mountain Mill Dr, Hospital Hill, Worcester",Mountain Mill,Western Cape
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"19, Summerstrand Boardwalk Casino, 2nd Ave, Summerstrand, Gqeberha",Boardwalk,Eastern Cape
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"cnr Moss Kolnick Drive & Arbour Road, btw Ashgate Rd & Outer Ring Rd",Galleria,KwaZulu Natal
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Emperors Palace, 64 Jones Road btw Griffiths Rd, Griffiths Rd & P Ln, Kempton Park",Emperors Palace,Gauteng
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Garsfontein Rd &, De Villebois Mareuil Dr, Pretoriuspark, Pretoria",Woodlands,Gauteng
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Ballito Dr, R627, Dolphin Coast,",Ballito Junction,KwaZulu Natal
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Tecoma Road &, Allamanda Rd, Blackburn Estate, Blackburn",Cornubia,KwaZulu Natal
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Westgate Shopping Centre, Westgate Rd, Horizon View, Roodepoort",Westgate,Gauteng
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Tsamaya Ave &, J Maleleku Dr, Mahube Valley, Pretoria",Mams Mall,Gauteng
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Giyani Main Rd, Giyani-BA, Giyani,",Masingita Mall,Limpopo
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Kirkby Rd, Bedford Gardens, Johannesburg",Bedford,Gauteng
Experience Reward,Nu Metro,Get your popcorn and snacks and enjoy the latest selection of movies at NuMetro cinema,Buy 1 ticket and get 1 free ticket,"Clearwater Mall, Hendrik Potgieter Rd & Christiaan De Wet Rd, Roodepoort",Clearwater,Gauteng
Experience Reward,Rush ,"Rush Extreme SA - Extreme Sports Park experience blending safety and fun. Exercise, entertain and jump with confidence in cutting-edge surroundings",Pay for all access ticket and get 1 free,"Cnr van Riebeeck and, Modderfontein Rd, Greenstone Hill, Johannesburg, 1616",Johannesburg,Gauteng
Experience Reward,Rush ,"Rush Extreme SA - Extreme Sports Park experience blending safety and fun. Exercise, entertain and jump with confidence in cutting-edge surroundings",Pay for all access ticket and get 1 free,"25 Stegman Rd, Claremont, Cape Town",Cape Town ,Western Cape
Experience Reward,S.W.A.T Laser Tag,S.W.A.T Laser Tag Offers a Variety of Thrilling Combat Games that the Whole Family can Enjoy.,Members get R500 discount per function of 10 or more players booked.,"127b Wroxham Rd, Paulshof, Fourways, Sandton",Fourways,Gauteng
Experience Reward,Saddle Creek Adventures,"Saddle Creek Adventures is nestled in the Hekpoort Valley at the foot of the magnificent Magaliesberg Mountains. A mere 45 minutes drive from both Johannesburg and Pretoria, this picturesque adventure ranch venue is suitable for a fun filled family day out or as the perfect place to build team spirit or throw an adventurous function out in the wilderness.",Pay for 1 Laser Clay Pigeon Shooting 40 shots at 20 clays and get 1 free.,"Farm HH24 Hartebeesfontein Road, Hekpoort",Hekpoort,Gauteng
Experience Reward,Splash Jump Zone,A Family orientated waterpark where friends and family can come and have fun. We have different thrill amazing swimming pools and adventurous waterslides.,Pay for 1 entry ticket and get 1 entry free,"Plot 22 First Ave, Dalmada AH",Dalmada,Limpopo
Experience Reward,The Social Pallet,The Social Pallet is about making art fun. Its where anyone can come and discover their artistic side. All materials are provided and you leave with a masterpiece on a pallet board. Isnt it time you did something for yourself.,Buy 1 art lesson at R250 a session and get 1 free,"1 Chester Terrace, Westville",Westville,KwaZulu Natal
Experience Rewards,Total Ninja,Our new Total Ninja Park is a supervised activity and fitness venue inspired by the need for individuals of all ages and abilities to achieve their own greatness. We are the largest inflatable and obstacle course in Africa.,Buy 1 mini ninja for 1 hour and get 1 free,"Corner Modderfontein & Hereford Rd, Stoneridge Centre, Edenvale, Johannesburg",Johannesburg,Gauteng
Experience Rewards,Total Ninja,Our new Total Ninja Park is a supervised activity and fitness venue inspired by the need for individuals of all ages and abilities to achieve their own greatness. We are the largest inflatable and obstacle course in Africa.,Buy 1 mini ninja for 1 hour and get 1 free,"Entrance 6, Shop 267, Northgate Mall, Northumberland Ave, Northgate, Johannesburg",Johannesburg,Gauteng
Experience Rewards,Total Ninja,Our new Total Ninja Park is a supervised activity and fitness venue inspired by the need for individuals of all ages and abilities to achieve their own greatness. We are the largest inflatable and obstacle course in Africa.,Buy 1 mini ninja for 1 hour and get 1 free,"Entrance 2, Shop LG41, Kolonnade Shopping Centre, Sefako Makgatho Dr, Montana Park, Pretoria",Pretoria,Gauteng
Experience Rewards,Total Ninja,Our new Total Ninja Park is a supervised activity and fitness venue inspired by the need for individuals of all ages and abilities to achieve their own greatness. We are the largest inflatable and obstacle course in Africa.,Buy 1 mini ninja for 1 hour and get 1 free,"Gateway Theatre Of Shopping, 1 Palm Boulevard, Umhlanga Ridge",Umhlanga,KwaZulu Natal
Experience Rewards,Total Ninja,Our new Total Ninja Park is a supervised activity and fitness venue inspired by the need for individuals of all ages and abilities to achieve their own greatness. We are the largest inflatable and obstacle course in Africa.,Buy 1 mini ninja for 1 hour and get 1 free,"Shop 201, Westown Square, 600 Kassier Road, Shongweni, Durban",Durban,KwaZulu Natal
Experience Rewards,Total Ninja,Our new Total Ninja Park is a supervised activity and fitness venue inspired by the need for individuals of all ages and abilities to achieve their own greatness. We are the largest inflatable and obstacle course in Africa.,Buy 1 mini ninja for 1 hour and get 1 free,"Black River Park, South Park Entrance, 2 Fir St, Observatory, Cape Town",Cape Town,Western Cape
Experience Reward,Valley Crag,,Pay for 1 day pass and get 1 free,"16 Lower Valley Rd, South End, Gqeberha",Gqeberha,Eastern Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,Boven Lange Valley Wilderness,Wilderness,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,Heatherlands George,George,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,"Oysters Edge Restaurant, 7 Flamingo Avenue, Segdefield",Segdefield,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,"43 Holt Hill, Bitou Rural, Plettenberg Bay",Plettenberg Bay,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,Greater Plettenberg Bay,Plettenberg Bay,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,Perdeskoendraai Farm R62 Oudtshoorn,Oudtshoorn,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,"Freedom Village, R301 Wemmershoek Rd, Freedom Village, Paarl",Paarl,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,"0 Dassenberg Dr, Atlantis, Cape Town",Atlantis Dunes,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,R72 Highway Cape Farms Melkbosstrand Cape Town,Cape Farms,Western Cape
Experience Reward,Wild X Adventure,Wild X offers a wide variety of adventures for the whole family in and around various towns in the Garden Route and Cape Town South Africa.,Buy 1 paintball session and get 1 free,"Du Toitskloof Pass, N1, Paarl",Paarl,Western Cape
